description,industry,complexity,estimated_duration,language,project_type,priority,tech_density,business_density
Développement d'un medical training application using virtual reality simulation,Healthcare,simple,20,english,Application Web,LOW,0.0,0.0
Création d'une plateforme de pharmacovigilance avec détection d'effets indésirables,Healthcare,simple,40,french,SaaS,LOW,0.0,0.0
Mise en place d'un remote patient monitoring platform for chronic disease management intégrant des APIs externes,Healthcare,simple,33,english,API REST,MEDIUM,0.0,0.0625
Plateforme de change de devises avec taux en temps réel,Finance,simple,23,french,SaaS,HIGH,0.0,0.0
Implémentation d'une fraud detection system using machine learning algorithms,Finance,simple,26,english,Système,HIGH,0.0,0.0
Création d'une plateforme bancaire mobile avec authentification biométrique,Finance,simple,52,french,Application Mobile,HIGH,0.0,0.0
Implémentation d'une electronic invoicing system with erp integration,Finance,simple,37,english,Système,LOW,0.0,0.0
Mise en place d'un plateforme de crowdfunding avec vérification kyc automatique avec algorithmic,Finance,moyen,71,french,SaaS,LOW,0.0,0.0
Création d'une currency exchange platform with real-time rate updates avec interface utilisateur moderne,Finance,simple,35,english,Application Web,HIGH,0.0,0.07692307692307693
Système de comptabilité automatisée avec IA,Finance,simple,49,french,Système,HIGH,0.0,0.0
Implémentation d'une investment advisory application with robo-advisor functionality,Finance,simple,37,english,Application Web,LOW,0.0,0.0
Développement d'un système de détection de fraude avec machine learning,Finance,simple,29,french,Système,LOW,0.0,0.0
Création d'une crowdfunding platform with automated kyc verification multi-plateforme,Finance,simple,33,english,SaaS,LOW,0.0,0.0
Implémentation d'une plateforme bancaire mobile avec authentification biométrique,Finance,simple,54,french,Application Mobile,MEDIUM,0.0,0.0
Mise en place d'un mobile banking platform with biometric authentication system avec compliance avec authentification SSO,Finance,moyen,93,english,Application Mobile,HIGH,0.0,0.0
Développement d'un système de conformité réglementaire avec rapports automatiques,Finance,simple,28,french,Système,LOW,0.0,0.0
Implémentation d'une mobile banking platform with biometric authentication system,Finance,simple,64,english,Application Mobile,HIGH,0.0,0.0
Plateforme de crowdfunding avec vérification KYC automatique,Finance,simple,48,french,SaaS,MEDIUM,0.0,0.0
Implémentation d'une fraud detection system using machine learning algorithms avec KYC,Finance,moyen,52,english,Système,LOW,0.0,0.0
Implémentation d'une système de comptabilité automatisée avec ia avec regulatory,Finance,simple,50,french,Système,MEDIUM,0.0,0.0
Mise en place d'un peer-to-peer payment application using blockchain technology,Finance,moyen,53,english,Application Web,HIGH,0.0,0.0
Développement d'un application de paiement peer-to-peer avec blockchain,Finance,moyen,69,french,Application Web,MEDIUM,0.0,0.0
Implémentation d'une investment advisory application with robo-advisor functionality,Finance,simple,23,english,Application Web,HIGH,0.0,0.0
Implémentation d'une application de gestion des dépenses d'entreprise,Finance,simple,29,french,Application Web,MEDIUM,0.0,0.125
Création d'une digital insurance platform with online underwriting avec authentification SSO,Finance,simple,45,english,Application Web,HIGH,0.0,0.0
Plateforme de crowdfunding avec vérification KYC automatique,Finance,simple,29,french,SaaS,MEDIUM,0.0,0.0
Création d'une fraud detection system using machine learning algorithms,Finance,simple,32,english,Système,HIGH,0.0,0.0
Développement d'un plateforme de change de devises avec taux en temps réel,Finance,simple,34,french,SaaS,HIGH,0.0,0.0
Peer-to-peer payment application using blockchain technology,Finance,moyen,58,english,Application Web,MEDIUM,0.0,0.0
Application de conseil en investissement avec robo-advisor,Finance,simple,26,french,Application Web,LOW,0.0,0.0
Implémentation d'une currency exchange platform with real-time rate updates,Finance,simple,46,english,Application Web,HIGH,0.0,0.0
Implémentation d'une plateforme d'assurance avec souscription digitale,Finance,simple,41,french,SaaS,MEDIUM,0.0,0.0
Mise en place d'un automated accounting system with artificial intelligence,Finance,simple,25,english,Système,MEDIUM,0.0,0.0
Développement d'un plateforme bancaire mobile avec authentification biométrique avec regulatory,Finance,moyen,93,french,Application Mobile,HIGH,0.0,0.0
Currency exchange platform with real-time rate updates,Finance,simple,26,english,Application Web,HIGH,0.0,0.0
Développement d'un système de gestion de portefeuille avec optimisation automatique,Finance,simple,40,french,Système,MEDIUM,0.0,0.1
Développement d'un fraud detection system using machine learning algorithms,Finance,simple,45,english,Système,HIGH,0.0,0.0
Système de conformité réglementaire avec rapports automatiques avec anti-fraud,Finance,moyen,80,french,Système,HIGH,0.0,0.0
Développement d'un real-time financial risk management application,Finance,simple,34,english,Application Web,HIGH,0.0,0.14285714285714285
Application de trading algorithmique avec analyse technique avancée intégrant des APIs externes,Finance,simple,45,french,API REST,LOW,0.0,0.0
Implémentation d'une peer-to-peer payment application using blockchain technology,Finance,moyen,60,english,Application Web,HIGH,0.0,0.0
Implémentation d'une système de comptabilité automatisée avec ia avec algorithmic,Finance,simple,35,french,Système,MEDIUM,0.0,0.0
Création d'une portfolio management system with automated optimization algorithms sécurisé et scalable,Finance,simple,39,english,Système,LOW,0.0,0.08333333333333333
Plateforme d'assurance avec souscription digitale avec analytics avancés,Finance,simple,21,french,SaaS,MEDIUM,0.0,0.0
Implémentation d'une portfolio management system with automated optimization algorithms,Finance,simple,32,english,Système,LOW,0.0,0.1111111111111111
Développement d'un application de paiement peer-to-peer avec blockchain avec high-frequency avec authentification SSO,Finance,moyen,69,french,Application Web,MEDIUM,0.0,0.0
Mise en place d'un regulatory compliance system with automated reporting,Finance,moyen,57,english,Système,HIGH,0.0,0.0
Implémentation d'une application de gestion des dépenses d'entreprise avec real-time-trading,Finance,moyen,72,french,Application Web,HIGH,0.0,0.1
Implémentation d'une algorithmic trading application with advanced technical analysis,Finance,simple,34,english,Application Web,HIGH,0.0,0.0
Développement d'un système de détection de fraude avec machine learning,Finance,simple,21,french,Système,HIGH,0.0,0.0
Mise en place d'un enterprise expense management application,Finance,simple,34,english,Application Web,HIGH,0.0,0.125
Mise en place d'un plateforme d'assurance avec souscription digitale,Finance,simple,37,french,SaaS,LOW,0.0,0.0
Mise en place d'un electronic invoicing system with erp integration avec PCI-DSS,Finance,simple,38,english,Système,MEDIUM,0.0,0.0
Mise en place d'un application de paiement peer-to-peer avec blockchain,Finance,moyen,69,french,Application Web,LOW,0.0,0.0
Mise en place d'un peer-to-peer payment application using blockchain technology,Finance,moyen,56,english,Application Web,MEDIUM,0.0,0.0
Mise en place d'un système de conformité réglementaire avec rapports automatiques avec authentification SSO,Finance,simple,50,french,Système,LOW,0.0,0.0
Création d'une mobile banking platform with biometric authentication system,Finance,simple,42,english,Application Mobile,LOW,0.0,0.0
Application de paiement peer-to-peer avec blockchain avec PCI-DSS,Finance,moyen,66,french,Application Web,MEDIUM,0.0,0.0
Développement d'un regulatory compliance system with automated reporting,Finance,moyen,71,english,Système,HIGH,0.0,0.0
Implémentation d'une application de conseil en investissement avec robo-advisor,Finance,simple,35,french,Application Web,LOW,0.0,0.0
Développement d'un digital insurance platform with online underwriting,Finance,simple,40,english,Application Web,HIGH,0.0,0.0
Développement d'un plateforme de change de devises avec taux en temps réel avec KYC,Finance,simple,42,french,SaaS,HIGH,0.0,0.0
Implémentation d'une mobile banking platform with biometric authentication system,Finance,simple,56,english,Application Mobile,HIGH,0.0,0.0
Création d'une système de comptabilité automatisée avec ia,Finance,simple,45,french,Système,MEDIUM,0.0,0.0
Portfolio management system with automated optimization algorithms,Finance,simple,49,english,Système,LOW,0.0,0.14285714285714285
Implémentation d'une application de conseil en investissement avec robo-advisor,Finance,simple,49,french,Application Web,MEDIUM,0.0,0.0
Création d'une peer-to-peer payment application using blockchain technology multi-plateforme,Finance,moyen,69,english,SaaS,MEDIUM,0.0,0.0
Implémentation d'une application de trading algorithmique avec analyse technique avancée,Finance,simple,20,french,Application Web,MEDIUM,0.0,0.0
Création d'une automated accounting system with artificial intelligence,Finance,simple,47,english,Système,HIGH,0.0,0.0
Création d'une système de comptabilité automatisée avec ia avec analytics avancés,Finance,simple,26,french,Système,LOW,0.0,0.0
Implémentation d'une peer-to-peer payment application using blockchain technology,Finance,moyen,56,english,Application Web,LOW,0.0,0.0
Système de gestion de portefeuille avec optimisation automatique avec anti-fraud avec haute performance,Finance,simple,36,french,Système,MEDIUM,0.0,0.07692307692307693
Développement d'un algorithmic trading application with advanced technical analysis,Finance,simple,39,english,Application Web,HIGH,0.0,0.0
Développement d'un système de comptabilité automatisée avec ia,Finance,simple,39,french,Système,HIGH,0.0,0.0
Création d'une currency exchange platform with real-time rate updates,Finance,simple,36,english,Application Web,HIGH,0.0,0.0
Implémentation d'une système de conformité réglementaire avec rapports automatiques avec analytics avancés,Finance,simple,34,french,Système,LOW,0.0,0.0
Crowdfunding platform with automated KYC verification avec KYC,Finance,simple,49,english,Application Web,LOW,0.0,0.0
Implémentation d'une système de gestion de portefeuille avec optimisation automatique,Finance,simple,42,french,Système,MEDIUM,0.0,0.1
Mise en place d'un automated accounting system with artificial intelligence,Finance,simple,48,english,Système,MEDIUM,0.0,0.0
Implémentation d'une plateforme de change de devises avec taux en temps réel avec authentification SSO,Finance,simple,40,french,SaaS,HIGH,0.0,0.0
Création d'une algorithmic trading application with advanced technical analysis avec high-frequency,Finance,moyen,79,english,Application Web,HIGH,0.0,0.0
Implémentation d'une système de conformité réglementaire avec rapports automatiques avec algorithmic,Finance,moyen,52,french,Système,LOW,0.0,0.0
Création d'une algorithmic trading application with advanced technical analysis,Finance,simple,44,english,Application Web,HIGH,0.0,0.0
Création d'une plateforme de crowdfunding avec vérification kyc automatique avec interface utilisateur moderne,Finance,simple,40,french,SaaS,MEDIUM,0.0,0.07692307692307693
Implémentation d'une investment advisory application with robo-advisor functionality,Finance,simple,32,english,Application Web,MEDIUM,0.0,0.0
Création d'une système de gestion de portefeuille avec optimisation automatique avec algorithmic,Finance,simple,31,french,Système,MEDIUM,0.0,0.08333333333333333
Développement d'un digital insurance platform with online underwriting avec PCI-DSS,Finance,simple,30,english,Application Web,MEDIUM,0.0,0.0
Mise en place d'un système de détection de fraude avec machine learning,Finance,simple,35,french,Système,MEDIUM,0.0,0.0
Implémentation d'une fraud detection system using machine learning algorithms,Finance,simple,27,english,Système,HIGH,0.0,0.0
Implémentation d'une plateforme bancaire mobile avec authentification biométrique avec analytics avancés,Finance,simple,36,french,Application Mobile,HIGH,0.0,0.0
Développement d'un fraud detection system using machine learning algorithms avec interface utilisateur moderne,Finance,simple,48,english,Système,HIGH,0.0,0.07692307692307693
Mise en place d'un plateforme de crédit en ligne avec scoring automatisé,Finance,simple,48,french,SaaS,MEDIUM,0.0,0.0
Implémentation d'une algorithmic trading application with advanced technical analysis multi-plateforme,Finance,simple,43,english,SaaS,MEDIUM,0.0,0.0
Création d'une application de gestion des dépenses d'entreprise avec authentification SSO,Finance,simple,26,french,Application Web,HIGH,0.0,0.09090909090909091
Création d'une investment advisory application with robo-advisor functionality,Finance,simple,33,english,Application Web,LOW,0.0,0.0
Développement d'un application de gestion des risques financiers en temps réel avec high-frequency multi-plateforme,Finance,simple,32,french,SaaS,HIGH,0.0,0.07142857142857142
Création d'une online lending platform with automated credit scoring avec real-time-trading avec haute performance,Finance,moyen,51,english,Application Web,HIGH,0.0,0.0
Développement d'un système de facturation électronique avec intégration erp avec regulatory avec haute performance,Finance,simple,44,french,Système,MEDIUM,0.0,0.0
Développement d'un enterprise expense management application,Finance,simple,26,english,Application Web,MEDIUM,0.0,0.16666666666666666
Développement d'un application de gestion des risques financiers en temps réel avec anti-fraud,Finance,simple,36,french,Application Web,MEDIUM,0.0,0.07692307692307693
Crowdfunding platform with automated KYC verification,Finance,simple,29,english,Application Web,HIGH,0.0,0.0
Mise en place d'un système de facturation électronique avec intégration erp avec compliance intégrant des APIs externes,Finance,moyen,66,french,API REST,HIGH,0.0,0.0
Mise en place d'un automated accounting system with artificial intelligence avec KYC multi-plateforme,Finance,simple,49,english,SaaS,LOW,0.0,0.0
Système de détection de fraude avec machine learning avec KYC,Finance,moyen,50,french,Système,MEDIUM,0.0,0.0
Mise en place d'un crowdfunding platform with automated kyc verification,Finance,simple,23,english,Application Web,LOW,0.0,0.0
Création d'une système de facturation électronique avec intégration erp avec analytics avancés,Finance,simple,33,french,Système,LOW,0.0,0.0
Portfolio management system with automated optimization algorithms avec high-frequency,Finance,simple,24,english,Système,MEDIUM,0.0,0.1111111111111111
Création d'une application de gestion des dépenses d'entreprise,Finance,simple,23,french,Application Web,MEDIUM,0.0,0.125
Implémentation d'une online lending platform with automated credit scoring,Finance,simple,40,english,Application Web,HIGH,0.0,0.0
Création d'une application de conseil en investissement avec robo-advisor,Finance,simple,45,french,Application Web,HIGH,0.0,0.0
Développement d'un fraud detection system using machine learning algorithms,Finance,simple,20,english,Système,HIGH,0.0,0.0
Implémentation d'une application de trading algorithmique avec analyse technique avancée intégrant des APIs externes,Finance,simple,31,french,API REST,LOW,0.0,0.0
Mise en place d'un digital insurance platform with online underwriting,Finance,simple,30,english,Application Web,LOW,0.0,0.0
Développement d'un plateforme bancaire mobile avec authentification biométrique avec anti-fraud,Finance,moyen,82,french,Application Mobile,MEDIUM,0.0,0.0
Portfolio management system with automated optimization algorithms,Finance,simple,48,english,Système,LOW,0.0,0.14285714285714285
Système de détection de fraude avec machine learning avec real-time-trading,Finance,moyen,68,french,Système,HIGH,0.0,0.0
Implémentation d'une algorithmic trading application with advanced technical analysis,Finance,simple,41,english,Application Web,MEDIUM,0.0,0.0
Création d'une système de gestion de portefeuille avec optimisation automatique,Finance,simple,29,french,Système,MEDIUM,0.0,0.1
Regulatory compliance system with automated reporting,Finance,moyen,76,english,Système,HIGH,0.0,0.0
Système de comptabilité automatisée avec IA,Finance,simple,29,french,Système,HIGH,0.0,0.0
Mise en place d'un crowdfunding platform with automated kyc verification,Finance,simple,26,english,Application Web,LOW,0.0,0.0
Mise en place d'un application de gestion des risques financiers en temps réel avec high-frequency,Finance,simple,28,french,Application Web,LOW,0.0,0.06666666666666667
Mise en place d'un peer-to-peer payment application using blockchain technology,Finance,moyen,53,english,Application Web,LOW,0.0,0.0
Système de gestion de portefeuille avec optimisation automatique,Finance,simple,44,french,Système,MEDIUM,0.0,0.125
Création d'une automated accounting system with artificial intelligence,Finance,simple,42,english,Système,LOW,0.0,0.0
Mise en place d'un système de facturation électronique avec intégration erp avec algorithmic avec analytics avancés,Finance,moyen,79,french,Système,HIGH,0.0,0.0
Création d'une mobile banking platform with biometric authentication system,Finance,simple,59,english,Application Mobile,HIGH,0.0,0.0
Implémentation d'une plateforme de crédit en ligne avec scoring automatisé,Finance,simple,50,french,SaaS,HIGH,0.0,0.0
Implémentation d'une investment advisory application with robo-advisor functionality,Finance,simple,41,english,Application Web,LOW,0.0,0.0
Mise en place d'un application de gestion des risques financiers en temps réel,Finance,simple,40,french,Application Web,HIGH,0.0,0.07692307692307693
Création d'une automated accounting system with artificial intelligence avec high-frequency sécurisé et scalable,Finance,moyen,77,english,Système,HIGH,0.0,0.0
Développement d'un système de comptabilité automatisée avec ia,Finance,simple,29,french,Système,HIGH,0.0,0.0
Peer-to-peer payment application using blockchain technology avec regulatory,Finance,moyen,71,english,Application Web,HIGH,0.0,0.0
Application de gestion des risques financiers en temps réel avec anti-fraud,Finance,simple,48,french,Application Web,MEDIUM,0.0,0.09090909090909091
Implémentation d'une enterprise expense management application,Finance,simple,26,english,Application Web,LOW,0.0,0.16666666666666666
Plateforme de crédit en ligne avec scoring automatisé,Finance,simple,36,french,SaaS,HIGH,0.0,0.0
Mise en place d'un algorithmic trading application with advanced technical analysis avec high-frequency,Finance,moyen,69,english,Application Web,MEDIUM,0.0,0.0
Développement d'un plateforme de change de devises avec taux en temps réel avec risk-management,Finance,simple,28,french,SaaS,HIGH,0.0,0.0
Création d'une mobile banking platform with biometric authentication system,Finance,simple,41,english,Application Mobile,MEDIUM,0.0,0.0
Mise en place d'un système de comptabilité automatisée avec ia avec high-frequency,Finance,simple,24,french,Système,HIGH,0.0,0.0
Création d'une fraud detection system using machine learning algorithms,Finance,simple,45,english,Système,MEDIUM,0.0,0.0
Développement d'un application de trading algorithmique avec analyse technique avancée,Finance,simple,46,french,Application Web,MEDIUM,0.0,0.0
Création d'une currency exchange platform with real-time rate updates,Finance,simple,41,english,Application Web,HIGH,0.0,0.0
Mise en place d'un système de conformité réglementaire avec rapports automatiques,Finance,simple,31,french,Système,MEDIUM,0.0,0.0
Création d'une mobile banking platform with biometric authentication system avec KYC,Finance,simple,52,english,Application Mobile,MEDIUM,0.0,0.0
Système de facturation électronique avec intégration ERP,Finance,simple,37,french,Système,MEDIUM,0.0,0.0
Implémentation d'une mobile banking platform with biometric authentication system,Finance,simple,59,english,Application Mobile,HIGH,0.0,0.0
Application de gestion des dépenses d'entreprise multi-plateforme,Finance,simple,28,french,SaaS,LOW,0.0,0.14285714285714285
Fraud detection system using machine learning algorithms,Finance,simple,40,english,Système,MEDIUM,0.0,0.0
Plateforme de crédit en ligne avec scoring automatisé,Finance,simple,45,french,SaaS,MEDIUM,0.0,0.0
Création d'une crowdfunding platform with automated kyc verification,Finance,simple,27,english,Application Web,LOW,0.0,0.0
Plateforme d'assurance avec souscription digitale,Finance,simple,34,french,SaaS,LOW,0.0,0.0
Création d'une crowdfunding platform with automated kyc verification avec authentification SSO,Finance,simple,25,english,Application Web,HIGH,0.0,0.0
Implémentation d'une système de gestion de portefeuille avec optimisation automatique avec regulatory avec analytics avancés,Finance,simple,45,french,Système,MEDIUM,0.0,0.06666666666666667
Mise en place d'un automated accounting system with artificial intelligence avec risk-management,Finance,simple,50,english,Système,LOW,0.0,0.0
Plateforme de crowdfunding avec vérification KYC automatique,Finance,simple,36,french,SaaS,LOW,0.0,0.0
Développement d'un crowdfunding platform with automated kyc verification avec compliance,Finance,moyen,67,english,Application Web,HIGH,0.0,0.0
Création d'une système de détection de fraude avec machine learning,Finance,simple,39,french,Système,HIGH,0.0,0.0
Mise en place d'un enterprise expense management application avec KYC,Finance,moyen,76,english,Application Web,LOW,0.0,0.1
Application de gestion des dépenses d'entreprise sécurisé et scalable,Finance,simple,29,french,Application Web,LOW,0.0,0.1111111111111111
Implémentation d'une enterprise expense management application,Finance,simple,47,english,Application Web,MEDIUM,0.0,0.16666666666666666
Implémentation d'une système de conformité réglementaire avec rapports automatiques,Finance,simple,45,french,Système,LOW,0.0,0.0
Développement d'un peer-to-peer payment application using blockchain technology,Finance,moyen,57,english,Application Web,LOW,0.0,0.0
Mise en place d'un système de gestion de portefeuille avec optimisation automatique,Finance,simple,28,french,Système,MEDIUM,0.0,0.08333333333333333
Mise en place d'un regulatory compliance system with automated reporting avec algorithmic intégrant des APIs externes,Finance,complexe,104,english,API REST,HIGH,0.0,0.0
Développement d'un application de trading algorithmique avec analyse technique avancée avec KYC,Finance,simple,40,french,Application Web,MEDIUM,0.0,0.0
Implémentation d'une digital insurance platform with online underwriting intégrant des APIs externes,Finance,simple,40,english,API REST,LOW,0.0,0.0
Plateforme de crowdfunding avec vérification KYC automatique avec real-time-trading,Finance,moyen,79,french,SaaS,HIGH,0.0,0.0
Développement d'un regulatory compliance system with automated reporting avec haute performance,Finance,moyen,61,english,Système,HIGH,0.0,0.0
Développement d'un application de gestion des risques financiers en temps réel,Finance,simple,20,french,Application Web,HIGH,0.0,0.09090909090909091
Crowdfunding platform with automated KYC verification,Finance,simple,44,english,Application Web,HIGH,0.0,0.0
Système de gestion de portefeuille avec optimisation automatique avec interface utilisateur moderne,Finance,simple,37,french,Système,MEDIUM,0.0,0.16666666666666666
Implémentation d'une enterprise expense management application,Finance,simple,46,english,Application Web,LOW,0.0,0.16666666666666666
Implémentation d'une plateforme d'assurance avec souscription digitale multi-plateforme,Finance,simple,44,french,SaaS,LOW,0.0,0.0
Implémentation d'une peer-to-peer payment application using blockchain technology,Finance,moyen,68,english,Application Web,LOW,0.0,0.0
Création d'une application de trading algorithmique avec analyse technique avancée,Finance,simple,25,french,Application Web,LOW,0.0,0.0
Mise en place d'un peer-to-peer payment application using blockchain technology,Finance,moyen,73,english,Application Web,LOW,0.0,0.0
Création d'une application de conseil en investissement avec robo-advisor,Finance,simple,28,french,Application Web,MEDIUM,0.0,0.0
Implémentation d'une currency exchange platform with real-time rate updates avec authentification SSO,Finance,simple,39,english,Application Web,HIGH,0.0,0.0
Développement d'un plateforme de change de devises avec taux en temps réel avec algorithmic multi-plateforme,Finance,simple,40,french,SaaS,HIGH,0.0,0.0
Développement d'un crowdfunding platform with automated kyc verification avec risk-management,Finance,moyen,72,english,Application Web,HIGH,0.0,0.0
Développement d'un plateforme d'assurance avec souscription digitale,Finance,simple,29,french,SaaS,MEDIUM,0.0,0.0
Peer-to-peer payment application using blockchain technology avec interface utilisateur moderne,Finance,moyen,70,english,Application Web,LOW,0.0,0.1
Implémentation d'une système de facturation électronique avec intégration erp avec compliance,Finance,simple,45,french,Système,HIGH,0.0,0.0
Développement d'un portfolio management system with automated optimization algorithms avec analytics avancés,Finance,simple,49,english,Système,HIGH,0.0,0.08333333333333333
Implémentation d'une plateforme de crowdfunding avec vérification kyc automatique avec authentification SSO,Finance,simple,38,french,SaaS,MEDIUM,0.0,0.0
Création d'une electronic invoicing system with erp integration sécurisé et scalable,Finance,simple,37,english,Système,LOW,0.0,0.0
Développement d'un système de gestion de portefeuille avec optimisation automatique,Finance,simple,25,french,Système,MEDIUM,0.0,0.1
Création d'une currency exchange platform with real-time rate updates avec PCI-DSS,Finance,moyen,79,english,Application Web,HIGH,0.0,0.0
Implémentation d'une plateforme de crédit en ligne avec scoring automatisé avec PCI-DSS,Finance,simple,36,french,SaaS,LOW,0.0,0.0
Mise en place d'un mobile banking platform with biometric authentication system,Finance,simple,56,english,Application Mobile,LOW,0.0,0.0
Mise en place d'un application de trading algorithmique avec analyse technique avancée avec real-time-trading avec analytics avancés,Finance,moyen,56,french,Application Web,HIGH,0.0,0.0
Investment advisory application with robo-advisor functionality avec real-time-trading,Finance,moyen,78,english,Application Web,HIGH,0.0,0.0
Mise en place d'un application de paiement peer-to-peer avec blockchain,Finance,moyen,62,french,Application Web,LOW,0.0,0.0
Fraud detection system using machine learning algorithms,Finance,simple,22,english,Système,MEDIUM,0.0,0.0
Développement d'un système de facturation électronique avec intégration erp,Finance,simple,39,french,Système,LOW,0.0,0.0
Portfolio management system with automated optimization algorithms avec authentification SSO,Finance,simple,41,english,Système,HIGH,0.0,0.1
Création d'une application de trading algorithmique avec analyse technique avancée avec anti-fraud,Finance,simple,32,french,Application Web,MEDIUM,0.0,0.0
Mise en place d'un peer-to-peer payment application using blockchain technology,Finance,moyen,63,english,Application Web,MEDIUM,0.0,0.0
Création d'une système de comptabilité automatisée avec ia avec anti-fraud,Finance,simple,22,french,Système,HIGH,0.0,0.0
Implémentation d'une currency exchange platform with real-time rate updates,Finance,simple,42,english,Application Web,HIGH,0.0,0.0
Mise en place d'un application de paiement peer-to-peer avec blockchain,Finance,moyen,59,french,Application Web,LOW,0.0,0.0
Implémentation d'une mobile banking platform with biometric authentication system,Finance,simple,61,english,Application Mobile,HIGH,0.0,0.0
Mise en place d'un application de gestion des dépenses d'entreprise,Finance,simple,20,french,Application Web,HIGH,0.0,0.1
Implémentation d'une real-time financial risk management application sécurisé et scalable,Finance,moyen,51,english,Application Web,HIGH,0.0,0.1
Mise en place d'un système de facturation électronique avec intégration erp,Finance,simple,39,french,Système,MEDIUM,0.0,0.0
Mise en place d'un automated accounting system with artificial intelligence avec interface utilisateur moderne,Finance,simple,36,english,Système,MEDIUM,0.0,0.07142857142857142
Mise en place d'un plateforme d'assurance avec souscription digitale avec risk-management,Finance,simple,40,french,SaaS,HIGH,0.0,0.0
Regulatory compliance system with automated reporting avec regulatory,Finance,moyen,50,english,Système,HIGH,0.0,0.0
Système de gestion de portefeuille avec optimisation automatique,Finance,simple,20,french,Système,MEDIUM,0.0,0.125
Création d'une digital insurance platform with online underwriting,Finance,simple,27,english,Application Web,LOW,0.0,0.0
Création d'une application de gestion des risques financiers en temps réel avec regulatory avec authentification SSO,Finance,moyen,69,french,Application Web,HIGH,0.0,0.0625
Mise en place d'un peer-to-peer payment application using blockchain technology,Finance,moyen,73,english,Application Web,HIGH,0.0,0.0
Développement d'un système de facturation électronique avec intégration erp avec authentification SSO,Finance,simple,43,french,Système,MEDIUM,0.0,0.0
Mise en place d'un fraud detection system using machine learning algorithms,Finance,simple,47,english,Système,HIGH,0.0,0.0
Création d'une système de détection de fraude avec machine learning sécurisé et scalable,Finance,moyen,62,french,Système,MEDIUM,0.0,0.0
Mise en place d'un portfolio management system with automated optimization algorithms sécurisé et scalable,Finance,simple,32,english,Système,LOW,0.0,0.07142857142857142
Implémentation d'une système de comptabilité automatisée avec ia,Finance,simple,36,french,Système,MEDIUM,0.0,0.0
Création d'une automated accounting system with artificial intelligence,Finance,simple,43,english,Système,LOW,0.0,0.0
Développement d'un plateforme de change de devises avec taux en temps réel,Finance,simple,31,french,SaaS,MEDIUM,0.0,0.0
Création d'une digital insurance platform with online underwriting,Finance,simple,21,english,Application Web,HIGH,0.0,0.0
Création d'une système de comptabilité automatisée avec ia avec interface utilisateur moderne,Finance,simple,34,french,Système,HIGH,0.0,0.08333333333333333
Online lending platform with automated credit scoring,Finance,simple,48,english,Application Web,LOW,0.0,0.0
Mise en place d'un système de facturation électronique avec intégration erp avec KYC,Finance,simple,32,french,Système,LOW,0.0,0.0
Investment advisory application with robo-advisor functionality avec high-frequency,Finance,simple,43,english,Application Web,MEDIUM,0.0,0.0
Système de gestion de portefeuille avec optimisation automatique avec analytics avancés,Finance,simple,38,french,Système,MEDIUM,0.0,0.09090909090909091
Développement d'un real-time financial risk management application,Finance,simple,24,english,Application Web,HIGH,0.0,0.14285714285714285
Développement d'un plateforme de crédit en ligne avec scoring automatisé,Finance,simple,34,french,SaaS,LOW,0.0,0.0
Développement d'un algorithmic trading application with advanced technical analysis avec compliance,Finance,moyen,75,english,Application Web,HIGH,0.0,0.0
Application de conseil en investissement avec robo-advisor multi-plateforme,Finance,simple,46,french,SaaS,HIGH,0.0,0.0
Mise en place d'un algorithmic trading application with advanced technical analysis,Finance,simple,30,english,Application Web,LOW,0.0,0.0
Création d'une application de conseil en investissement avec robo-advisor,Finance,simple,49,french,Application Web,MEDIUM,0.0,0.0
Création d'une automated accounting system with artificial intelligence,Finance,simple,39,english,Système,HIGH,0.0,0.0
Création d'une plateforme de crédit en ligne avec scoring automatisé,Finance,simple,21,french,SaaS,LOW,0.0,0.0
Développement d'un online lending platform with automated credit scoring,Finance,simple,25,english,Application Web,LOW,0.0,0.0
Développement d'un application de conseil en investissement avec robo-advisor avec regulatory avec analytics avancés,Finance,simple,46,french,Application Web,HIGH,0.0,0.0
Mise en place d'un automated accounting system with artificial intelligence avec compliance,Finance,simple,48,english,Système,HIGH,0.0,0.0
Application de paiement peer-to-peer avec blockchain,Finance,moyen,75,french,Application Web,HIGH,0.0,0.0
Electronic invoicing system with ERP integration avec high-frequency,Finance,simple,43,english,Système,HIGH,0.0,0.0
Plateforme de crédit en ligne avec scoring automatisé,Finance,simple,20,french,SaaS,LOW,0.0,0.0
Développement d'un enterprise expense management application,Finance,simple,27,english,Application Web,HIGH,0.0,0.16666666666666666
Développement d'un application de gestion des dépenses d'entreprise avec PCI-DSS intégrant des APIs externes,Finance,simple,51,french,API REST,LOW,0.0,0.07142857142857142
Création d'une enterprise expense management application avec real-time-trading intégrant des APIs externes,Finance,moyen,60,english,API REST,HIGH,0.0,0.08333333333333333
Plateforme de crédit en ligne avec scoring automatisé,Finance,simple,49,french,SaaS,LOW,0.0,0.0
Création d'une crowdfunding platform with automated kyc verification,Finance,simple,25,english,Application Web,MEDIUM,0.0,0.0
Implémentation d'une application de gestion des risques financiers en temps réel,Finance,simple,21,french,Application Web,MEDIUM,0.0,0.09090909090909091
Développement d'un peer-to-peer payment application using blockchain technology,Finance,moyen,50,english,Application Web,HIGH,0.0,0.0
Création d'une application de paiement peer-to-peer avec blockchain,Finance,moyen,78,french,Application Web,LOW,0.0,0.0
